host_since;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bedrooms;beds;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;instant_bookable
16/11/2017;1;90;88;f;9;t;Lower_East_Side;Entire_apartment;Entire_home-apt;4;2;2;30;1125;5;100;f
06/10/2010;3;100;80;f;4;t;Bushwick;Entire_townhouse;Entire_home-apt;12;5;6;30;60;26;90;f
16/11/2017;1;90;88;f;9;t;Lower_East_Side;Entire_apartment;Entire_home-apt;4;2;2;30;1125;4;95;f
16/11/2017;1;90;88;f;9;t;Lower_East_Side;Entire_apartment;Entire_home-apt;2;1;1;30;1125;1;100;f
16/11/2017;1;90;88;f;9;t;Lower_East_Side;Entire_apartment;Entire_home-apt;3;1;1;30;1125;9;98;f
10/12/2014;3;87.640014;81.277545;f;1;t;East_Harlem;Entire_apartment;Entire_home-apt;2;1;1;30;30;5;96;t
18/11/2012;1;100;81.277545;f;1;t;Greenpoint;Private_room_in_apartment;Private_room;2;1;1;14;1125;4;95;f
09/11/2015;3;87.640014;81.277545;f;1;t;Crown_Heights;Private_room_in_apartment;Private_room;1;1;1;30;1125;0;93.812903;t
11/08/2016;3;87.640014;81.277545;f;1;t;Flatbush;Entire_apartment;Entire_home-apt;3;1;1;30;1125;5;100;f
29/12/2017;3;100;92;t;1;t;Howard_Beach;Entire_house;Entire_home-apt;10;3;6;2;13;114;95;t
29/12/2017;3;87.640014;100;t;1;t;Clinton_Hill;Entire_guest_suite;Entire_home-apt;2;1;1;30;60;62;99;f
03/11/2015;3;93;97;f;2;t;Midtown;Entire_apartment;Entire_home-apt;4;1;2;1;1125;6;77;t
14/02/2015;3;100;20;f;2;t;East_Flatbush;Private_room_in_apartment;Private_room;3;3;3;30;1125;1;100;f
26/03/2015;1;50;0;f;1;t;Greenpoint;Entire_apartment;Entire_home-apt;1;1;1;30;30;3;100;f
31/08/2016;0;0;96;f;1;t;Hells_Kitchen;Entire_apartment;Entire_home-apt;4;1;3;30;1125;117;88;t
13/12/2017;3;87.640014;81.277545;f;1;t;Bushwick;Entire_apartment;Entire_home-apt;1;1;1;2;1125;13;97;f
29/12/2017;3;87.640014;100;f;1;t;Lower_East_Side;Private_room_in_apartment;Private_room;2;1;2;30;30;7;93;t
22/06/2014;3;100;82;f;3;t;Columbia_St;Entire_apartment;Entire_home-apt;4;2;2;30;1125;60;93;f
18/01/2016;3;87.640014;81.277545;f;1;f;Woodside;Private_room_in_house;Private_room;1;1;1;30;1125;7;87;f
13/07/2015;3;87.640014;81.277545;f;1;t;Kensington;Private_room_in_apartment;Private_room;2;1;1;30;30;2;90;t
29/12/2017;3;100;85;f;16;t;Upper_East_Side;Entire_apartment;Entire_home-apt;4;1;2;1;1125;83;83;f
23/11/2017;2;100;64;f;0;t;Bedford-Stuyvesant;Entire_apartment;Entire_home-apt;4;2;2;30;1125;4;100;f
24/03/2018;0;0;67;f;18;t;Upper_East_Side;Private_room_in_apartment;Private_room;4;1;1;1;29;5;80;f
